province,year,month,y_pr,trend,season,resid
BDINH,2025,1,284.8670217303501,284.6338633100299,0.35797119140625,-0.12481277108603187
DANANG,2025,1,287.65589504457967,288.13216233690537,0.0841522216796875,-0.5604195140054136
DLAC,2025,1,298.0954112125452,295.9107672175826,2.7451934814453125,-0.5605494864827311
DNONG,2025,1,303.16084888187453,302.57213531691013,0.37066650390625,0.21804706105812463
GLAI,2025,1,306.24241913891484,307.10562491104463,-1.3231964111328125,0.4599906390030308
KHOA,2025,1,311.2948937346178,310.9533374305096,0.243621826171875,0.0979344779363247
KTUM,2025,1,315.1753065357256,316.7728331306374,-1.638946533203125,0.04141993829130098
PYEN,2025,1,322.77711639630826,321.28742528980877,1.321868896484375,0.16782221001511546
QBINH,2025,1,324.3874349614831,326.1672843735307,-1.576873779296875,-0.20297563275073655
QNGAI,2025,1,329.8119538678265,330.0792800907943,0.174896240234375,-0.44222246320217523
QNAM,2025,1,333.54662868462225,335.43330457974827,-1.5667266845703125,-0.319949210555711
QTRI,2025,1,343.7670092960264,343.6688307568704,-0.446441650390625,0.544620189546589
TTHUE,2025,1,345.539029839906,345.99004786176783,-0.5467681884765625,0.09575016661470134
BDINH,2025,2,291.253850480754,284.4214924235155,7.054412841796875,-0.22205478455834096
DANANG,2025,2,291.60193093508497,288.19920377863457,3.96942138671875,-0.5666942302683745
DLAC,2025,2,301.40133021379125,295.57736432444904,5.30126953125,0.5226963580922123
DNONG,2025,2,307.58487805591716,302.13290206830175,5.3950958251953125,0.056880162420086235
GLAI,2025,2,312.75211482651184,307.93259267434087,4.362396240234375,0.4571259119365734
KHOA,2025,2,316.69746047309434,310.83646912707525,5.828765869140625,0.03222547687844999
KTUM,2025,2,322.00727526195584,318.2517159465946,3.6017913818359375,0.15376793352534837
PYEN,2025,2,327.4845074265925,322.70021817208794,4.472076416015625,0.31221283848890935
QBINH,2025,2,331.7333840574977,326.0534826578736,6.0208587646484375,-0.3409573650243403
QNGAI,2025,2,334.6367520993408,330.95705060395034,3.932220458984375,-0.25251896359392684
QNAM,2025,2,341.90356031706006,336.5516542184819,5.452911376953125,-0.10100527837494482
QTRI,2025,2,352.4144844927939,344.88293738844527,6.906982421875,0.6245646824736435
TTHUE,2025,2,352.51650683167276,346.23797345932405,6.2425537109375,0.0359796614111793
