province,year,month,y_pr,trend,season,resid
BDINH,2025,1,282.82898588044526,283.2332518093865,0.2450103759765625,-0.6492763049178087
DANANG,2025,1,291.71403480884874,292.89888029221504,-1.535552978515625,0.35070749514932303
DLAC,2025,1,293.9125876919851,293.7735437140056,0.630157470703125,-0.4911134927236262
DNONG,2025,1,300.07902822345216,300.66931285144585,-0.4730072021484375,-0.11727742584524262
GLAI,2025,1,305.4011469650342,304.97181548503744,0.3980865478515625,0.03124493214519114
KHOA,2025,1,308.9155131746681,310.64324368061546,-1.871612548828125,0.14388204288076872
KTUM,2025,1,316.3535668984171,317.3253218889472,-1.1922454833984375,0.22049049286833755
PYEN,2025,1,319.97061657086107,320.4450824733782,-0.6868133544921875,0.2123474519750637
QBINH,2025,1,324.59830897648453,325.4159192176129,-0.906585693359375,0.0889754522309875
QNGAI,2025,1,331.6704557307903,330.89822175631787,1.180084228515625,-0.40785025404318836
QNAM,2025,1,339.0707946198837,337.33995343082887,1.250762939453125,0.48007824960169804
QTRI,2025,1,340.7545652921194,340.419747305392,-0.2033843994140625,0.538202386141506
TTHUE,2025,1,345.87163450056113,346.88632934153367,-0.914581298828125,-0.10011354214443442
BDINH,2025,2,289.05662479911973,283.28964122818115,6.448699951171875,-0.6817163802332851
DANANG,2025,2,297.1620936947027,292.8941259868784,4.0775604248046875,0.19040728301960083
DLAC,2025,2,296.86379835692566,294.36490507208464,2.95458984375,-0.4556965589090009
DNONG,2025,2,308.14431701297195,301.3998307866993,6.8133087158203125,-0.068822489547659
GLAI,2025,2,312.66439449638744,306.1731996843354,6.32366943359375,0.16752537845831
KHOA,2025,2,315.1815677326816,311.5023526004816,3.460205078125,0.21901005407502663
KTUM,2025,2,321.72175117054735,317.9327825407271,3.566864013671875,0.22210461614835864
PYEN,2025,2,325.02693270407815,321.11132137783676,3.696624755859375,0.21898657038199495
QBINH,2025,2,329.20454716620264,326.31071450146635,2.72625732421875,0.16757534051753353
QNGAI,2025,2,334.7054257189709,331.0369602323259,4.147674560546875,-0.4792090739018737
QNAM,2025,2,345.2237410459064,337.98328709758084,6.750701904296875,0.4897520440286885
